model,NaCl_Percent,Rep,RAW_Temp,M_Temp,EC
model01,2.0,29,72.3,6640.0,956.0
model01,0.3,16,55.1,4166.0,270.0
model01,1.3,29,72.5,5552.0,812.0
model04,0.3,25,62.1,5654.0,300.0
model04,1.3,2,24.8,2512.0,435.0
model01,0.6,7,33.0,3102.0,312.0
model02,0.5,8,31.9,3089.0,279.0
model02,2.0,15,40.5,3821.0,649.0
model01,1.6,22,65.4,6016.0,827.0
model02,0.8,18,53.7,5022.0,429.0
model03,0.9,12,41.9,3722.0,417.0
model03,1.5,31,89.4,5408.0,1002.0
model03,1.0,30,72.0,6746.0,624.0
model01,1.7,27,73.9,6857.0,886.0
model03,1.3,8,29.6,2954.0,468.0
model02,0.5,2,25.3,2483.0,257.0
model01,0.7,8,31.7,3032.0,334.0
model02,1.1,18,52.6,4816.0,517.0
model01,0.5,21,64.0,5186.0,372.0
model02,1.8,27,72.8,6801.0,888.0
model02,1.0,4,24.8,2470.0,372.0
model04,1.8,29,71.7,6979.0,919.0
model01,1.4,27,80.9,6425.0,909.0
model01,0.6,16,50.9,4085.0,373.0
model01,0.0,14,41.2,3907.0,52.0
model02,1.1,11,43.2,3621.0,469.0
model01,0.2,23,63.3,5664.0,248.0
model04,1.6,15,40.7,3927.0,637.0
model03,0.2,8,32.0,2971.0,169.0
model04,0.7,3,23.9,2319.0,308.0
model04,0.3,19,56.4,5211.0,272.0
model04,2.0,32,82.1,7886.0,1031.0
model02,1.1,3,24.3,2449.0,381.0
model01,0.7,18,52.2,4823.0,408.0
model01,0.3,10,33.2,3187.0,225.0
model01,1.3,5,24.7,2483.0,440.0
model02,1.2,21,64.1,4898.0,623.0
model02,0.8,22,65.1,5810.0,471.0
model03,1.3,18,50.0,4544.0,582.0
model02,1.4,12,41.5,3927.0,575.0
model04,1.2,35,80.2,6080.0,766.0
model02,1.6,25,65.0,6174.0,788.0
model03,0.1,30,73.9,6878.0,178.0
model01,0.0,28,73.6,6864.0,65.0
model02,0.8,19,53.7,5101.0,426.0
model03,0.3,19,56.4,5022.0,274.0
model04,0.3,18,56.4,5203.0,272.0
model04,0.0,1,25.3,2504.0,50.0
model04,1.7,35,81.6,7836.0,961.0
model04,0.3,22,62.2,5542.0,296.0
model02,1.7,13,40.5,3839.0,608.0
model03,0.8,9,31.8,3040.0,352.0
model01,1.6,28,74.0,5989.0,948.0
model02,0.0,35,83.6,8160.0,66.0
model04,0.3,1,23.9,2393.0,195.0
model02,1.6,32,74.3,5421.0,723.0
model02,1.0,18,51.5,4786.0,522.0
model01,1.2,27,73.7,6037.0,708.0
model03,2.0,28,72.7,6794.0,906.0
model03,0.8,16,53.6,4287.0,429.0
model04,0.2,20,56.5,5203.0,223.0
model03,1.8,29,71.9,6787.0,870.0
model04,1.6,33,75.3,5117.0,820.0
model01,1.4,14,41.6,3856.0,587.0
model04,1.8,31,83.0,6627.0,988.0
model04,1.2,10,30.7,2901.0,447.0
model02,1.8,16,51.2,4572.0,706.0
model02,0.5,33,87.5,8062.0,467.0
model01,0.7,29,80.6,7492.0,532.0
model03,1.8,19,50.7,4728.0,706.0
model04,1.1,25,62.4,5901.0,599.0
model02,0.4,15,43.3,4125.0,273.0
model03,0.2,6,32.0,2966.0,164.0
model02,0.2,5,22.7,2238.0,152.0
model03,2.0,20,51.7,4739.0,740.0
model01,0.1,35,87.1,8073.0,206.0
model02,1.6,13,41.1,3889.0,613.0
model01,0.7,4,24.5,2355.0,310.0
model04,2.0,2,24.6,2367.0,569.0
model01,1.2,16,53.4,4197.0,575.0
model02,1.7,3,26.9,2675.0,506.0
model02,1.7,28,72.7,6843.0,841.0
model02,0.7,13,42.1,3993.0,359.0
model03,0.3,15,47.2,4395.0,249.0
model01,1.3,26,73.6,4486.0,822.0
model02,0.6,32,88.2,7937.0,515.0
model01,0.8,11,42.9,3585.0,394.0
model03,1.3,30,70.0,5452.0,735.0
model01,0.4,33,86.0,7846.0,406.0
model02,0.7,15,42.0,3981.0,363.0
model01,0.1,31,87.7,8052.0,201.0
model02,0.7,16,52.2,4432.0,398.0
model02,0.2,28,73.9,6673.0,258.0
