model,NaCl_Percent,Rep,RAW_Temp,M_Temp,EC
model03,0.2,7,32.0,2926.0,168.0
model03,0.9,19,51.1,4688.0,462.0
model03,0.0,34,84.2,8020.0,68.0
model03,1.8,5,25.5,2516.0,526.0
model03,0.7,28,78.5,7273.0,502.0
model03,1.6,32,70.5,4739.0,722.0
model03,0.8,26,80.2,6921.0,504.0
model03,1.1,9,31.6,3063.0,402.0
model03,0.1,15,42.8,3981.0,138.0
model03,1.0,8,34.0,3221.0,412.0
model03,1.6,27,75.4,5937.0,940.0
model03,1.9,21,58.8,4797.0,769.0
model03,0.8,34,86.3,7423.0,634.0
model03,1.1,27,71.7,6437.0,654.0
model03,1.1,12,43.0,3963.0,482.0
model03,0.9,8,34.7,3274.0,387.0
model03,1.0,13,43.7,4135.0,459.0
model03,0.1,4,23.1,2297.0,115.0
model03,0.1,2,23.1,2273.0,115.0
model03,1.4,33,89.2,7545.0,887.0
model03,0.1,10,32.3,3127.0,125.0
model03,1.8,8,33.8,3247.0,576.0
model03,0.4,15,43.2,3960.0,274.0
model03,1.6,24,64.3,6005.0,777.0
model03,0.0,9,31.5,3060.0,51.0
model03,0.0,6,31.6,3102.0,50.0
model03,1.0,31,88.9,6359.0,714.0
model03,0.1,6,32.3,3058.0,123.0
model03,1.7,8,34.0,3213.0,552.0
model03,0.9,25,61.8,5870.0,515.0
model03,1.0,10,34.1,3287.0,410.0
model03,0.4,12,43.3,3901.0,274.0
model03,0.2,21,62.9,4603.0,237.0
model03,0.7,21,64.7,4797.0,442.0
model03,0.5,19,48.1,4735.0,331.0
model03,0.7,14,41.7,3966.0,360.0
model03,1.8,31,82.8,6365.0,941.0
model03,1.6,19,52.4,4955.0,678.0
model03,1.3,9,29.6,2946.0,470.0
model03,0.8,20,53.9,5029.0,436.0
model03,0.4,23,63.4,5756.0,335.0
model03,0.8,5,23.2,2254.0,322.0
model03,2.0,29,72.6,6943.0,898.0
model03,1.8,16,50.9,4036.0,704.0
model03,1.8,9,33.7,3255.0,579.0
model03,1.9,28,70.6,6512.0,865.0
model03,0.6,31,88.2,7886.0,502.0
model03,0.0,5,25.3,2516.0,48.0
model03,1.0,35,87.3,8250.0,699.0
model03,0.3,18,56.5,5232.0,275.0
model03,0.3,34,83.1,7545.0,335.0
model03,0.4,29,76.0,7092.0,364.0
model03,0.6,20,51.0,4749.0,368.0
model03,1.6,8,32.1,3094.0,542.0
model03,0.0,2,25.3,2529.0,52.0
model03,1.4,26,78.6,5182.0,825.0
